,Id,City,Country,Latitude,Longitude,Temprature(F),Humidity(%),Cloudiness(%),Wind_Speed(mph)
0,6050066,La Ronge,CA,55.1,-105.3,48.2,93,90,12.75
1,1273574,Vaini,IN,15.34,74.49,68.61,99,92,5.73
2,4030556,Rikitea,PF,-23.12,-134.97,74.1,99,80,11.21
3,2094342,Kavieng,PG,-2.57,150.8,83.1,100,64,7.07
4,3833367,Ushuaia,AR,-54.81,-68.31,44.76,70,75,14.99
5,5906757,Bow Island,CA,49.87,-111.38,48.2,93,90,21.92
6,2084442,Vanimo,PG,-2.67,141.3,76.89,100,76,7.4
7,2175403,Bluff,AU,-23.58,149.07,50.34,84,0,6.96
8,2185329,Waipawa,NZ,-39.94,176.59,29.1,77,0,2.93
9,1014034,Carnarvon,ZA,-30.97,22.13,39.0,61,0,9.42
10,2122389,Ossora,RU,59.24,163.07,42.06,100,0,8.3
11,4011743,Constitucion,MX,23.99,-104.67,77.0,44,75,4.7
12,352733,Marsa Matruh,EG,31.35,27.25,82.4,69,20,13.87
13,6185377,Yellowknife,CA,62.45,-114.38,55.4,71,75,13.87
14,5742974,North Bend,US,43.41,-124.22,64.08,82,75,9.17
15,503977,Marfino,RU,56.07,37.56,65.41,46,0,2.24
16,2090021,Namatanai,PG,-3.66,152.44,79.05,100,48,8.97
17,1253628,Lata,IN,30.78,78.62,58.8,100,68,1.7
18,3418910,Upernavik,GL,72.79,-56.15,37.2,100,88,2.15
19,3874787,Punta Arenas,CL,-53.16,-70.91,46.4,65,75,20.8
20,780687,Berlevag,NO,70.86,29.09,48.54,87,75,4.7
21,5990737,Kemptville,CA,45.02,-75.64,76.17,73,1,3.36
22,5962442,Goderich,CA,43.74,-81.71,78.42,89,36,14.79
23,3576994,Cockburn Town,TC,21.46,-71.14,84.0,95,88,19.04
24,1082243,Ambilobe,MG,-13.19,49.05,72.39,60,0,14.12
25,2488835,Medea,DZ,36.27,2.77,78.8,69,0,11.41
26,3372760,Praia da Vitoria,PT,38.73,-27.07,75.2,83,75,8.86
27,2035836,Manzhouli,CN,49.6,117.43,57.54,96,68,6.29
28,2022572,Khatanga,RU,71.98,102.47,51.42,78,0,9.42
29,2208248,Kaitangata,NZ,-46.28,169.85,43.14,96,92,13.0
30,787487,Poum,MK,41.28,20.71,64.4,63,40,4.7
31,6201424,Mataura,NZ,-46.19,168.86,42.69,98,92,11.21
32,988698,Knysna,ZA,-34.04,23.05,53.6,62,0,8.05
33,2163355,Hobart,AU,-42.88,147.33,39.2,86,75,9.17
34,2075265,Busselton,AU,-33.64,115.35,56.64,100,92,20.15
35,1865309,Katsuura,JP,33.93,134.5,76.89,88,8,3.27
36,3366880,Hermanus,ZA,-34.42,19.24,50.16,98,88,7.29
37,4018700,Altar,MX,30.72,-111.84,95.43,31,0,5.73
38,964432,Port Alfred,ZA,-33.59,26.89,63.3,69,32,20.83
39,1810846,Fuyang,CN,30.05,119.96,80.6,88,0,4.47
40,2119964,Vakhrushev,RU,48.99,142.86,50.88,100,80,3.04
41,556268,Ostrovnoy,RU,68.05,39.51,51.96,91,8,18.14
42,5106834,Albany,US,42.65,-73.75,82.35,68,75,5.82
43,2399001,Mayumba,GA,-3.44,10.65,75.45,92,0,4.94
44,6170031,Tuktoyaktuk,CA,69.44,-133.03,41.0,86,90,9.17
45,3835994,Santa Rosa,AR,-36.62,-64.29,79.05,22,12,12.33
46,3832376,Santa Flavia,CL,-51.55,-72.35,41.0,86,90,17.22
47,2277197,Ganta,LR,7.31,-8.54,77.16,89,88,4.05
48,3381428,Iracoubo,GF,5.48,-53.21,85.62,70,32,3.94
49,1015776,Bredasdorp,ZA,-34.53,20.04,53.6,87,92,11.41
50,1282256,Hithadhoo,MV,-0.6,73.08,82.38,100,44,2.37
51,3423146,Ilulissat,GL,69.22,-51.1,37.4,64,75,4.7
52,2335713,Matagami,NG,9.67,8.4,71.67,94,88,2.15
53,2194098,Ahipara,NZ,-35.17,173.16,50.25,100,32,10.42
54,905789,Mpongwe,ZM,-13.51,28.16,70.59,27,0,9.42
55,3355672,Luderitz,NA,-26.65,15.16,60.69,55,0,25.41
56,5880568,Bethel,US,60.79,-161.76,51.08,89,90,14.99
57,5386035,Rancho Palos Verdes,US,33.75,-118.37,75.25,64,40,10.29
58,4035715,Avarua,CK,-21.21,-159.78,71.6,78,40,8.05
